WD21CD,WD22CD,distance
E05000353,E05013616,0.0017110523077875663
E05000354,E05013615,0.0027817979797244924
E05000355,E05013617,0.00011180339887485304
E05000356,E05013618,0.008502099740651588
E05000357,E05013619,0.002728552729928553
E05000358,E05013620,0.00428168191251997
E05000359,E05013622,0.0
E05000360,E05013623,0.005248637918547632
E05000361,E05013624,9.99999999995449e-06
E05000362,E05013625,0.0016743058263025195
E05000363,E05013626,0.0
E05000364,E05013627,0.0018361100184901976
E05000365,E05013609,0.007430968981229755
E05000366,E05013698,3.0000000000002247e-05
E05000367,E05013699,0.0020957576195731803
E05000368,E05013700,0.0013817742217888222
E05000369,E05013701,0.0008621484790902092
E05000370,E05013702,1.4142135620948367e-05
E05000371,E05013703,0.004937256323102004
E05000372,E05013704,0.0015501290268894784
E05000373,E05013697,0.00031064449134012343
E05000374,E05013705,0.0019884164553735303
E05000375,E05013706,0.0009141115905622967
E05000376,E05013707,0.0007002856560023842
E05000377,E05013709,0.0016063934760833093
E05000378,E05013713,0.0
E05000379,E05013710,0.006976653925771055
E05000380,E05013710,0.0027637836384238968
E05000381,E05013712,0.0039832147820558685
E05000400,E05013928,0.0026176707203158962
E05000401,E05013929,0.00556439574437326
E05000402,E05013940,0.00563242398972312
E05000403,E05013930,0.004961007962098112
E05000404,E05013935,0.001563201842372843
E05000405,E05013931,1.9999999999242846e-05
E05000406,E05013932,0.0008459905436834288
E05000407,E05013933,9.99999999995449e-06
E05000408,E05013938,0.0027540878707831345
E05000409,E05013941,2.2360679776385653e-05
E05000410,E05013942,0.004122001940801648
E05000411,E05013939,0.009014344124780355
E05000412,E05013943,0.0022993042425910114
E05000413,E05013944,0.002012013916452884
E05000414,E05013945,0.004901469167504019
E05000415,E05013946,0.0019669773765825793
E05000416,E05014118,0.0011535163631288857
E05000417,E05014095,0.0048290164630091035
E05000418,E05014099,0.0007488658090729995
E05000419,E05014102,0.0020146711890527903
E05000420,E05014096,0.004179688983644926
E05000421,E05014096,0.005697727617216161
E05000422,E05014103,0.0024439517180148865
E05000423,E05014104,0.0
E05000424,E05014106,0.0018693581786267766
E05000425,E05014111,0.004470905948467652
E05000426,E05014108,0.0017400287353930258
E05000427,E05014105,0.003054979541666011
E05000428,E05014115,0.0002707397274140524
E05000429,E05014111,0.0037982364328725646
E05000430,E05014113,0.006771063431989523
E05000431,E05014112,0.0015212166183694307
E05000432,E05014116,0.001471767644705289
E05000433,E05014114,0.005570430863048752
E05000434,E05014119,0.0027434467372254483
E05000435,E05014097,0.003629724507452677
E05000436,E05014107,0.003751972814400222
E05000437,E05013714,0.000616116872030315
E05000438,E05013715,0.002053902626708507
E05000439,E05013716,0.0014727525250336736
E05000440,E05013717,0.007212988285032114
E05000441,E05013718,1.9999999999242846e-05
E05000442,E05013720,0.002690874207388904
E05000443,E05013721,0.00173666346768678
E05000444,E05013722,9.999999999996123e-06
E05000445,E05013723,1.7204650531800337e-05
E05000446,E05013725,0.004677232087463541
E05000447,E05013726,1.7204650531799632e-05
E05000448,E05013727,0.010476950892317347
E05000449,E05013728,0.0032073976990676482
E05000450,E05013729,0.0030989837043778126
E05000451,E05013730,0.002106395024681721
E05000452,E05013731,0.000260192236625279
E05000453,E05013732,0.0
E05000454,E05013724,0.006566533408120362
E05000455,E05013810,0.0013520355024906762
E05000456,E05013811,2.9999999995311555e-05
E05000457,E05013812,2.0000000000020002e-05
E05000458,E05013813,0.00031999999999499096
E05000459,E05013816,0.007599217064936068
E05000460,E05013814,0.0032389195729433016
E05000461,E05013815,0.0015148927354751306
E05000462,E05013816,7.00000000000145e-05
E05000463,E05013817,0.002701851217221127
E05000464,E05013818,0.00024698178069977166
E05000465,E05013819,3.605551275422177e-05
E05000466,E05013820,0.0007387827826876103
E05000467,E05013821,0.0
E05000468,E05013822,0.0031019509989684522
E05000469,E05013823,0.005206092584655535
E05000470,E05013824,0.0068275471437410015
E05000471,E05013810,0.007454616019623299
E05000472,E05013825,1.4142135625982477e-05
E05000473,E05013827,0.0
E05000474,E05013828,0.004422589739056038
E05000475,E05013904,0.0012592732030827062
E05000476,E05013905,0.0015028319932711923
E05000477,E05013906,0.002828971721315484
E05000478,E05013907,0.00170336989524058
E05000479,E05013908,0.004117809611917492
E05000480,E05013909,5.166236540708737e-05
E05000481,E05013921,0.0024220825749754976
E05000482,E05013910,0.0017294626333054681
E05000483,E05013911,0.003467356485855955
E05000484,E05013912,0.0023523401114634505
E05000485,E05013913,0.00019021303845587613
E05000486,E05013914,1.8027756375140193e-05
E05000487,E05013915,0.0021006191944339192
E05000488,E05013916,0.0020170959322745223
E05000489,E05013918,0.0038259330888036677
E05000490,E05013919,0.001581757250652913
E05000491,E05013922,0.013368658160040202
E05000492,E05013924,0.003726258176780842
E05000493,E05013926,2.3853720883117818e-05
E05000494,E05013927,4.833218389700422e-05
E05000516,E05013774,1.0000000003174137e-05
E05000517,E05013775,0.0009912618221234173
E05000518,E05013776,0.001591257364471038
E05000519,E05013777,1.0000000003174137e-05
E05000520,E05013778,2.8284271246940655e-05
E05000521,E05013779,3.1622776602716e-05
E05000522,E05013780,6.324555320313241e-05
E05000523,E05013781,1.999999999996449e-05
E05000524,E05013782,0.0
E05000525,E05013783,0.0004883646178817712
E05000526,E05013784,0.002745268657162561
E05000527,E05013785,1.4142135625982477e-05
E05000528,E05013786,0.005900279654388484
E05000529,E05013787,0.0
